iter	Passed	Remaining
0	3	311
1	6	294
2	8	282
3	10	260
4	13	257
5	16	260
6	19	261
7	22	258
8	25	257
9	28	255
10	31	253
11	34	249
12	36	245
13	39	241
14	41	237
15	44	234
16	47	233
17	50	231
18	53	227
19	56	225
20	59	223
21	62	221
22	65	218
23	67	215
24	70	211
25	73	208
26	76	205
27	78	203
28	81	199
29	84	196
30	87	193
31	89	190
32	91	185
33	93	180
34	95	176
35	96	172
36	98	167
37	99	162
38	101	158
39	102	153
40	103	149
41	104	144
42	105	140
43	106	135
44	107	131
45	109	127
46	110	124
47	111	120
48	112	116
49	113	113
50	114	109
51	115	106
52	116	103
53	117	100
54	118	96
55	118	93
56	119	90
57	120	87
58	121	84
59	122	81
60	123	78
61	124	76
62	124	73
63	125	70
64	126	68
65	127	65
66	128	63
67	129	60
68	129	58
69	130	55
70	131	53
71	131	51
72	132	49
73	133	46
74	133	44
75	134	42
76	135	40
77	136	38
78	136	36
79	137	34
80	138	32
81	138	30
82	139	28
83	140	26
84	140	24
85	141	23
86	142	21
87	142	19
88	143	17
89	144	16
90	144	14
91	145	12
92	145	10
93	146	9
94	147	7
95	147	6
96	148	4
97	149	3
98	149	1
99	150	0
